Варіант 1:
Параметри: T=600.00, dt=20.00, rho=1.29, mu=1.730000e-05, A=4.00, v0=6.00, d=0.0010
Час (с)  Сила опору F (Н)
--------------------------
0.00      0.000009
20.00     0.000010
40.00     0.000011
60.00     0.000013
80.00     0.000015
100.00    0.000017
120.00    0.000019
140.00    0.000021
160.00    0.000022
180.00    0.000022
200.00    0.000022
220.00    0.000022
240.00    0.000022
260.00    0.000022
280.00    0.000022
300.00    0.000022
320.00    0.000022
340.00    0.000022
360.00    0.000022
380.00    0.000022
400.00    0.000022
420.00    0.000022
440.00    0.000022
460.00    0.000021
480.00    0.000019
500.00    0.000017
520.00    0.000015
540.00    0.000013
560.00    0.000011
580.00    0.000010
600.00    0.000009

Варіант 2:
Параметри: T=600.00, dt=20.00, rho=1.29, mu=1.730000e-05, A=5.00, v0=8.00, d=0.0020
Час (с)  Сила опору F (Н)
--------------------------
0.00      0.000057
20.00     0.000067
40.00     0.000078
60.00     0.000089
80.00     0.000101
100.00    0.000115
120.00    0.000128
140.00    0.000143
160.00    0.000151
180.00    0.000151
200.00    0.000151
220.00    0.000151
240.00    0.000151
260.00    0.000151
280.00    0.000151
300.00    0.000151
320.00    0.000151
340.00    0.000151
360.00    0.000151
380.00    0.000151
400.00    0.000151
420.00    0.000151
440.00    0.000151
460.00    0.000143
480.00    0.000128
500.00    0.000115
520.00    0.000101
540.00    0.000089
560.00    0.000078
580.00    0.000067
600.00    0.000057

Варіант 3:
Параметри: T=600.00, dt=20.00, rho=1.29, mu=1.730000e-05, A=7.00, v0=10.00, d=0.0030
Час (с)  Сила опору F (Н)
--------------------------
0.00      0.000201
20.00     0.000240
40.00     0.000282
60.00     0.000329
80.00     0.000378
100.00    0.000432
120.00    0.000488
140.00    0.000548
160.00    0.000580
180.00    0.000580
200.00    0.000580
220.00    0.000580
240.00    0.000580
260.00    0.000580
280.00    0.000580
300.00    0.000580
320.00    0.000580
340.00    0.000580
360.00    0.000580
380.00    0.000580
400.00    0.000580
420.00    0.000580
440.00    0.000580
460.00    0.000548
480.00    0.000488
500.00    0.000432
520.00    0.000378
540.00    0.000329
560.00    0.000282
580.00    0.000240
600.00    0.000201

